LENDER NAME,LTV,FICO,Residential,,,,,,,,,,,,
,,,1st ,,2nd,,HELOC,,,,,,,,
Agri roots,,,,,,,,,,,,,,,
Alta West,80%,>650,,,"12.75%
3.75% Fee",,,,,,,,,,
Alta West,75%,>550,"8.49%
2.99% Fee","TDS: 70%
","11.99%
3.5% Fee",,,,,,,,,,
Alta West,65%,>550,"8.29%
2.99% Fee","TDS: 70%
",,,,,,,,,,,
Blackhawk Consulting,80%,,,,"13.99%
6% Fee","Area: anywhere in ON
12 month term",,,,,,,,,
Brightpath Capital,75%,>600,"9.49%
1.49% Fee","Area: pop. 50k+
12 month term
Loan: 1.5m ",,,,,,,,,,,
Brightpath Capital,80%,>680,"9.99%
1.99% Fee",Loan: 1.2m,,,,,,,,,,,
Brightpath Capital,85%,>680,"10.99%
2.99% Fee","Loan: 1.2m
Freehold Only",,,,,,,,,,,
CMI,80%,,"11.99%
8% Fees",Area: Anywhere in ON,,,,,,,,,,,
Extend Financial,75%,N/A,,,,,"13.99%
3% Fee","4 year term
",,,,,,,
Hillmont,,,,Construction mortgages,,,,,,,,,,,
Hosper,80%,,7.99%,Bundle into 1st and 2nd,80%,8.99%,,,,,,,,,
Hosper,75%,,7.99%,,,,,,,,,,,,
Lendfinity,65%,N/A,"10.99%
3% Fee",Quick Closing,,,,,,,,,,,
Lendfinity,80%,,,,"11.99%
3% Fee",Quick Closing,,,,,,,,,
Liahona MIC,75%,,,Term: 6-24 months,,,,,,,,,,,
MCF,75%,,"6.99%
1.5% Fee","Area: Major Cities
40 Yr AM",,,,,,,,,,,
MCF,65%,,"6.99%
1.5% Fee","Area: pop. >25,000, well and sceptic, Rural",,,,,,,,,,,
MCF,55%,,"6.99%
1.5% Fee",Area: Agricultural,,,,,,,,,,,
New Haven,75%,,"10.74%
1.25% Fee",loan: 25k - 1m,"12.99%
3.24% Fee","loan 200k Max
Existing 1st 750k max",,,,,,,,,
New Haven,65%,,"9.99%
1.25% Fee",loan: 25k - 1m,"11.99%
2.99% Fee","loan 200k Max
Existing 1st 750k max",,,,,,,,,
New Haven,55%,,"9.74%
1.00% Fee",loan: 25k - 1m,"10.99%
2.24% Fee","loan 200k Max
Existing 1st 750k max",,,,,,,,,
Oppono,65%,>650,"8.54%
1.99% Fee",,,,,,,,,,,,
Oppono,70%,>650,"8.24%
1.99% Fee",,,,,,,,,,,,
Oppono,,>680,"8.14%
1.99% Fee",,,,,,,,,,,,
Oppono,75%,>650,"8.24%
1.99% Fee",,,,,,,,,,,,
Oppono,,>680,"8.14%
1.99% Fee",,,,,,,,,,,,
Oppono,80%,> 680,,,,,,,,,,,,,
OZ Capital,70% (refi),,"8.99%
1.85% Fee","Amount: 1m
Anywhere in ON",,,,,,,,,,,
OZ Capital,75%,,,,"9.99%
2.5% Fee","Amount: 500k
Anywhere in ON",,,,,,,,,
Regiis MIC,85% (w/ Fees),,,,,,,,,,,,,,
Sequence Capital,75%,,"10.99%
1% Fee",500k - 1m,"12.75%
2% Fee",,,,,,,,,,
Sequence Capital,70%,,"9.99%
1% Fee",,"11.95%
2% Fee",,,,,,,,,,
Sequence Capital,65%,,"9.49%
1% Fee",,"11.49%
2% Fee",,,,,,,,,,
Sequence Capital,60%,,"9.25%
1% Fee",,"11.25%
2% Fee",,,,,,,,,,
Sequence Capital,50%,,"8.99%
1% Fee",,"10.49%
2% Fee",,,,,,,,,,
Tribecca,,,,"construction mortgages, personal loans",,,,,,,,,,,Stoneridge Lending 
Vault,75%,,"9.49%
1.99% Fee","Area: GTA, Barrie, KWC, London",,,,,,,,,,,
Vault,70%,,"9.25%
1.75% Fee","Area: GTA, Barrie, KWC, London",,,,,,,,,,,
Vault,65%,,"8.99%
1.75% Fee","Area: GTA, Barrie, KWC, London",,,,,,,,,,,
Vault,60%,,"8.75%
1.75% Fee","Area: GTA, Barrie, KWC, London",,,,,,,,,,,
Vault,55%,,"8.49%
1.75% Fee","Area: GTA, Barrie, KWC, London",,,,,,,,,,,
Westboro,,,"8.79%
3% Fee","35-40 yr am, 1-2 yr term","10.99%
3% Fee","35-40 yr am, 1-2 yr term",,,,,,,,,
Tembo,,,,,,,,,,,,,,,Royal Canadian MIC
Firm Capital,,,,,,,,,,,,,,,
lendhub,,,,small rural loans,,,,,,,,,,,
prompt financial,,,,small rural loans,,,,,,,,,,,
calvert,,,,"Pre con quick close 80% LTV, Area: Alberta and Ontario. Quick closing within 48 hours",,,,,,,,,,,
aarea mortgages,,,,,,,,,,,,,,,
antrim investments,,,,,,,,,,,,,,,
atrium MIC,,,,,,,,,,,,,,,
Bloom,,,,,,,,,,,,,,,
Bridgewater,,,,,,,,,,,,,,,
Capital Direct,,,,,,,,,,,,,,,
Caplink,,,,85% LTV,,,,,,,,,,,
Centurion,,,,,,,,,,,,,,,
Drake Financial,,,,,,,,,,,,,,,
Fisgard,,,,,,,,,,,,,,,
First Source,,,,,,,,,,,,,,,
Freedom Capital,,,,,,,,,,,,,,,
Gentai,,,,,,,,,,,,,,,
Graysbrook,,,,,,,,,,,,,,,
Haventree,,,,,,,,,,,,,,,
VWR Capital,,,,,,,,,,,,,,,
Homeequity bank,,,,,,,,,,,,,,,
IC Savins,,,,,,,,,,,,,,,
Interfinance,,,,Quick closing,,,,,,,,,,,
King Capital,,,,,,,,,,,,,,,
Lanyard Financial,,,,,,,,,,,,,,,
M12 Capital,,,,85% LTV,,,,,,,,,,,
Magenta,,,,,,,,,,,,,,,
Mountain Investment,,,,,,,,,,,,,,,
NPX,,,,,,,,,,,,,,,
Optimum ,,,,,,,,,,,,,,,
Pillar Financial,,,,,,,,,,,,,,,
PMB Inc,,,,,,,,,,,,,,,
Richview capital,,,,Quick closing,,,,,,,,,,,
Riverrock,,,,,,,,,,,,,,,
Royal Canadian MIC,,,,,,,,,,,,,,,
Rydan,,,,,,,,,,,,,,,
Spectrum Canada,,,,,,,,,,,,,,,
Three Point Capital,,,,,,,,,,,,,,,
Tribecca,,,,,,,,,,,,,,,
XMC,,,,,,,,,,,,,,,
1 City FInancial,,,,,,,,,,,,,,,
Advanced MIC,,,,,,,,,,,,,,,
Alpha August RE Advisory,,,,,,,,,,,,,,,
ALT MOrtgages,,,,,,,,,,,,,,,
Breakwater investments,,,,,,,,,,,,,,,
Brookstreet MIC,,,,,,,,,,,,,,,
BUrke Financial,,,,,,,,,,,,,,,
Calvert,,,,,,,,,,,,,,,
CMFG,,,,,,,,,,,,,,,
CMCapital,,,,,,,,,,,,,,,
Cash loans canada,,,,,,,,,,,,,,,
Castleton mortgages,,,,,,,,,,,,,,,
Comat ,,,,,,,,,,,,,,,
Corwin Capital,,,,,,,,,,,,,,,
Eclipse MIC,,,,,,,,,,,,,,,
Effort Trust,,,,,,,,,,,,,,,
Elle Mortgage Corporation,,,,,,,,,,,,,,,
Equity Financial trust,,,,,,,,,,,,,,,
Fast Access financial,,,,,,,,,,,,,,,
FC mortgage,,,,,,,,,,,,,,,
First Capital,,,,,,,,,,,,,,,
